    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.079297  2.594282  3.983584  3.982499
  1.079688  2.595838  3.984669  3.983584
  1.080078  2.597394  3.985753  3.984669
  1.080469  2.598951  3.986837  3.985753
  1.080859  2.600509  3.987920  3.986837
  1.081250  2.602067  3.989003  3.987920
  1.081641  2.603625  3.990086  3.989003
  1.082031  2.605183  3.991169  3.990086
  1.082422  2.606742  3.992251  3.991169
  1.082813  2.608302  3.993332  3.992251
  1.083203  2.609862  3.994414  3.993332
  1.083594  2.611422  3.995494  3.994414
  1.083984  2.612983  3.996575  3.995494
  1.084375  2.614544  3.997655  3.996575
  1.084766  2.616106  3.998735  3.997655
  1.085156  2.617668  3.999814  3.998735
  1.085547  2.619230  4.000893  3.999814
  1.085938  2.620793  4.001972  4.000893
  1.086328  2.622356  4.003050  4.001972
  1.086719  2.623920  4.004128  4.003050
  1.087109  2.625484  4.005205  4.004128
  1.087500  2.627048  4.006283  4.005205
  1.087891  2.628613  4.007359  4.006283
  1.088281  2.630179  4.008436  4.007359
  1.088672  2.631745  4.009512  4.008436
  1.089063  2.633311  4.010587  4.009512
  1.089453  2.634877  4.011662  4.010587
  1.089844  2.636445  4.012737  4.011662
  1.090234  2.638012  4.013812  4.012737
  1.090625  2.639580  4.014886  4.013812
  1.091016  2.641148  4.015959  4.014886
  1.091406  2.642717  4.017033  4.015959
  1.091797  2.644286  4.018105  4.017033
  1.092188  2.645856  4.019178  4.018105
  1.092578  2.647426  4.020250  4.019178
  1.092969  2.648996  4.021322  4.020250
  1.093359  2.650567  4.022393  4.021322
  1.093750  2.652138  4.023464  4.022393
  1.094141  2.653710  4.024534  4.023464
  1.094531  2.655282  4.025605  4.024534
  1.094922  2.656854  4.026674  4.025605
  1.095313  2.658427  4.027744  4.026674
  1.095703  2.660001  4.028813  4.027744
  1.096094  2.661574  4.029881  4.028813
  1.096484  2.663149  4.030949  4.029881
  1.096875  2.664723  4.032017  4.030949
  1.097266  2.666298  4.033085  4.032017
  1.097656  2.667874  4.034152  4.033085
  1.098047  2.669449  4.035218  4.034152
  1.098438  2.671026  4.036284  4.035218
  1.098828  2.672602  4.037350  4.036284
  1.099219  2.674179  4.038416  4.037350
  1.099609  2.675757  4.039481  4.038416
  1.100000  2.677335  4.040545  4.039481
  1.100391  2.678913  4.041609  4.040545
  1.100781  2.680492  4.042673  4.041609
  1.101172  2.682071  4.043737  4.042673
  1.101563  2.683651  4.044800  4.043737
  1.101953  2.685231  4.045862  4.044800
  1.102344  2.686811  4.046924  4.045862
  1.102734  2.688392  4.047986  4.046924
  1.103125  2.689973  4.049047  4.047986
  1.103516  2.691555  4.050108  4.049047
  1.103906  2.693137  4.051169  4.050108
  1.104297  2.694719  4.052229  4.051169
  1.104688  2.696302  4.053289  4.052229
  1.105078  2.697886  4.054348  4.053289
  1.105469  2.699469  4.055407  4.054348
  1.105859  2.701054  4.056465  4.055407
  1.106250  2.702638  4.057524  4.056465
  1.106641  2.704223  4.058581  4.057524
  1.107031  2.705808  4.059639  4.058581
  1.107422  2.707394  4.060695  4.059639
  1.107813  2.708980  4.061752  4.060695
  1.108203  2.710567  4.062808  4.061752
  1.108594  2.712154  4.063863  4.062808
  1.108984  2.713742  4.064919  4.063863
  1.109375  2.715329  4.065973  4.064919
