Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Эйлера. Время работы этого метода: 8

x		y
1.30664		16.8043
1.30859		16.8498
1.31055		16.8953
1.3125		16.9408
1.31445		16.9863
1.31641		17.0318
1.31836		17.0773
1.32031		17.1228
1.32227		17.1682
1.32422		17.2137
1.32617		17.2591
1.32813		17.3046
1.33008		17.35
1.33203		17.3954
1.33398		17.4408
1.33594		17.4862
1.33789		17.5315
1.33984		17.5769
1.3418		17.6222
1.34375		17.6675
1.3457		17.7128
1.34766		17.7581
1.34961		17.8033
1.35156		17.8486
1.35352		17.8938
1.35547		17.939
1.35742		17.9841
1.35938		18.0293
1.36133		18.0744
1.36328		18.1195
1.36523		18.1646
1.36719		18.2096
1.36914		18.2546
1.37109		18.2996
1.37305		18.3446
1.375		18.3895
1.37695		18.4344
1.37891		18.4793
1.38086		18.5241
1.38281		18.5689
1.38477		18.6137
1.38672		18.6584
1.38867		18.7031
1.39063		18.7478
1.39258		18.7924
1.39453		18.837
1.39648		18.8816
1.39844		18.9261
1.40039		18.9705
1.40234		19.015
1.4043		19.0594
1.40625		19.1037
1.4082		19.148
1.41016		19.1923
1.41211		19.2365
1.41406		19.2807
1.41602		19.3248
1.41797		19.3689
1.41992		19.413
1.42188		19.457
1.42383		19.5009
1.42578		19.5448
1.42773		19.5886
1.42969		19.6324
1.43164		19.6762
1.43359		19.7199
1.43555		19.7635
1.4375		19.8071
1.43945		19.8506
1.44141		19.8941
1.44336		19.9375
1.44531		19.9808
1.44727		20.0241
1.44922		20.0674
1.45117		20.1105
1.45313		20.1536
1.45508		20.1967
1.45703		20.2397
1.45898		20.2826
1.46094		20.3255
1.46289		20.3683
1.46484		20.411
1.4668		20.4537
1.46875		20.4963
1.4707		20.5388
1.47266		20.5813
1.47461		20.6237
1.47656		20.666
1.47852		20.7083
1.48047		20.7505
1.48242		20.7926
1.48438		20.8346
1.48633		20.8766
1.48828		20.9185
1.49023		20.9603
1.49219		21.002
1.49414		21.0437
1.49609		21.0853
1.49805		21.1268
1.5		21.1682
1.50195		21.2096
1.50391		21.2508
1.50586		21.292
1.50781		21.3331
1.50977		21.3741
1.51172		21.4151
1.51367		21.4559
1.51563		21.4967
1.51758		21.5374
1.51953		21.5779
1.52148		21.6184
1.52344		21.6589
1.52539		21.6992
1.52734		21.7394
1.5293		21.7796
1.53125		21.8196
1.5332		21.8596
1.53516		21.8994
1.53711		21.9392
1.53906		21.9789
1.54102		22.0184
1.54297		22.0579
1.54492		22.0973
1.54688		22.1366
1.54883		22.1758
1.55078		22.2148
1.55273		22.2538
1.55469		22.2927
1.55664		22.3315
1.55859		22.3702
1.56055		22.4087
1.5625		22.4472
1.56445		22.4856
1.56641		22.5238
1.56836		22.562
1.57031		22.6
1.57227		22.638
1.57422		22.6758
1.57617		22.7135
1.57813		22.7511
1.58008		22.7886
1.58203		22.826
1.58398		22.8632
1.58594		22.9004
1.58789		22.9374
1.58984		22.9744
1.5918		23.0112
1.59375		23.0479
1.5957		23.0845
1.59766		23.1209
1.59961		23.1573
1.60156		23.1935
1.60352		23.2296
1.60547		23.2656
1.60742		23.3014
1.60938		23.3371
1.61133		23.3728
1.61328		23.4082
1.61523		23.4436
1.61719		23.4788
1.61914		23.514
1.62109		23.5489
1.62305		23.5838
1.625		23.6185
1.62695		23.6531
1.62891		23.6876
1.63086		23.7219
1.63281		23.7561
1.63477		23.7902
