Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Эйлера. Время работы этого метода: 13

x		y
1.02119		10.4283
1.02124		10.4293
1.02129		10.4303
1.02134		10.4313
1.02139		10.4323
1.02144		10.4333
1.02148		10.4343
1.02153		10.4353
1.02158		10.4363
1.02163		10.4373
1.02168		10.4383
1.02173		10.4393
1.02178		10.4403
1.02183		10.4413
1.02187		10.4423
1.02192		10.4433
1.02197		10.4443
1.02202		10.4453
1.02207		10.4463
1.02212		10.4473
1.02217		10.4483
1.02222		10.4493
1.02227		10.4503
1.02231		10.4513
1.02236		10.4523
1.02241		10.4533
1.02246		10.4543
1.02251		10.4553
1.02256		10.4563
1.02261		10.4573
1.02266		10.4583
1.02271		10.4592
1.02275		10.4602
1.0228		10.4612
1.02285		10.4622
1.0229		10.4632
1.02295		10.4642
1.023		10.4652
1.02305		10.4662
1.0231		10.4672
1.02314		10.4682
1.02319		10.4692
1.02324		10.4702
1.02329		10.4712
1.02334		10.4722
1.02339		10.4732
1.02344		10.4742
1.02349		10.4752
1.02354		10.4762
1.02358		10.4772
1.02363		10.4782
1.02368		10.4792
1.02373		10.4802
1.02378		10.4812
1.02383		10.4822
1.02388		10.4832
1.02393		10.4842
1.02397		10.4852
1.02402		10.4862
1.02407		10.4872
1.02412		10.4882
1.02417		10.4892
1.02422		10.4902
1.02427		10.4912
1.02432		10.4922
1.02437		10.4932
1.02441		10.4942
1.02446		10.4952
1.02451		10.4962
1.02456		10.4972
1.02461		10.4982
1.02466		10.4992
1.02471		10.5002
1.02476		10.5012
1.0248		10.5022
1.02485		10.5032
1.0249		10.5042
1.02495		10.5052
1.025		10.5062
1.02505		10.5072
1.0251		10.5082
1.02515		10.5092
1.0252		10.5102
1.02524		10.5112
1.02529		10.5122
1.02534		10.5132
1.02539		10.5142
1.02544		10.5152
1.02549		10.5162
1.02554		10.5172
1.02559		10.5182
1.02563		10.5192
1.02568		10.5202
1.02573		10.5212
1.02578		10.5222
1.02583		10.5232
1.02588		10.5242
1.02593		10.5252
1.02598		10.5262
1.02603		10.5272
1.02607		10.5282
1.02612		10.5292
1.02617		10.5302
1.02622		10.5312
1.02627		10.5323
1.02632		10.5333
1.02637		10.5343
1.02642		10.5353
1.02646		10.5363
1.02651		10.5373
1.02656		10.5383
1.02661		10.5393
1.02666		10.5403
1.02671		10.5413
1.02676		10.5423
1.02681		10.5433
1.02686		10.5443
1.0269		10.5453
1.02695		10.5463
1.027		10.5473
1.02705		10.5483
1.0271		10.5493
1.02715		10.5503
1.0272		10.5513
1.02725		10.5523
1.02729		10.5533
1.02734		10.5543
1.02739		10.5553
1.02744		10.5563
1.02749		10.5573
1.02754		10.5583
1.02759		10.5593
1.02764		10.5603
1.02769		10.5613
1.02773		10.5623
1.02778		10.5633
1.02783		10.5643
1.02788		10.5653
1.02793		10.5663
1.02798		10.5673
1.02803		10.5683
1.02808		10.5693
1.02812		10.5703
1.02817		10.5713
1.02822		10.5724
1.02827		10.5734
1.02832		10.5744
1.02837		10.5754
1.02842		10.5764
